Rank,Team,Team Clash,Route Quiz (/12),Photo Challenge : Characters (/24),Anagram Challenge (/8),Photo Challenge : Consoles (/6),Brain Training (/8),Missing Vowels (/8),Facebook Uploads (/25),Total,Clash: 2nd Best,Clash: 3rd Vents the Charm,Clash: 50 Shades of Spray,Clash: Accidental TV Damage,Clash: Atomic Securities,Clash: Bald and Beautiful,Clash: Billy's Mates,Clash: Cheeky Pluckers,Clash: Chilled Out Chickens,Clash: Chips and Salsa,Clash: Clash of Pints,Clash: Compass,Clash: Crop It Like It's Hot,Clash: Cyber-drunk,Clash: Cyber-Glitch-Hopper,Clash: Data Ventures,Clash: Early Careers FC,Clash: FC Wild Cards,Clash: Fruit Juice Ninjas,Clash: Full Kit Bankers,Clash: Game of Throws,Clash: Golden Pint Chasers,Clash: Grand Theft Ale,Clash: Green Machines,Clash: Hadouken on Tap,Clash: Here for Beer,Clash: Hook Funt,"Clash: I am rubber, you are glue",Clash: I like big putters and I cannot lie,"Clash: IAM a Plant, IAM a Zombie",Clash: Kev Cochrane's Worn-out Joystick,Clash: Kevin Costner Fan Club,Clash: Lost Toys,Clash: Mortalled,Clash: My name Chef,Clash: No Pain No Game,"Clash: No thoughts, only Potato",Clash: Oh No!,"Clash: Oh, Behave!",Clash: Only Gnomes,"Clash: Pay, no pay",Clash: Ping-Pong,Clash: Pubthumping,Clash: Purn's Puppets,Clash: Raiders of the lost packets,Clash: Random Encounter,Clash: Revenge of the Stakeholders,Clash: S.T.A.R.S.,Clash: Saddle Sore Squad,Clash: Sim & Tonic,Clash: Skyrimmers,Clash: Stirrups R Us,Clash: Team Chundrake (It's Chunning Home),Clash: Temu Hades,Clash: Tetris,Clash: The Booze Lightyears,Clash: The Clever Ones,Clash: The Hedgefund Managers,Clash: The Mild Hunt,Clash: The NPC's,Clash: The Sackstreet Boys,Clash: The Swarm,Clash: The Ultimate Warriors,Clash: Tony Hawk Pro Lenders,Clash: Village Idiots,"Clash: Waka Waka, Work Harder",Clash: We are supposed to be a Unit !,Clash: We're just here to expense it,Clash: Why has the rum gone?,Clash: Wild Goose Chase!,Clash: Woooo!!,Clash: Wormageddon,Clash: Wreck it & Rollback,Clash: Zero Pucks Given,Pub 1 Q1,Pub 1 Q2,Pub 1 Q3,Pub 2 Q1,Pub 2 Q2,Pub 2 Q3,Pub 3 Q1,Pub 3 Q2,Pub 3 Q3,Pub 4 Q1,Pub 4 Q2,Pub 4 Q3,Photo 1: Character,Photo 1: Game,Photo 2: Character,Photo 2: Game,Photo 3: Character,Photo 3: Game,Photo 4: Character,Photo 4: Game,Photo 5: Character,Photo 5: Game,Photo 6: Character,Photo 6: Game,Photo 7: Character,Photo 7: Game,Photo 8: Character,Photo 8: Game,Photo 9: Character,Photo 9: Game,Photo 10: Character,Photo 10: Game,Photo 11: Character,Photo 11: Game,Photo 12: Character,Photo 12: Game,Anagram 1,Anagram 2,Anagram 3,Anagram 4,Anagram 5,Anagram 6,Anagram 7,Anagram 8,Console 1,Console 2,Console 3,Console 4,Console 5,Console 6,Brain Q1,Brain Q2,Brain Q3,Brain Q4,Brain Q5,Brain Q6,Brain Q7,Brain Q8,Vowels 1,Vowels 2,Vowels 3,Vowels 4,Vowels 5,Vowels 6,Vowels 7,Vowels 8,Facebook: Team Photo (/5),Facebook: Selection Video (/10),Facebook: Scene Video (/10)
28,We're just here to expense it,11,9,19,8,4,3,0,10,64,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,0,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,0,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,0,1,,,,,,0,,,,,,,0,0,10
29,Billy's Mates,12,8,12,0,6,0,0,25,63,,,,1,,,,,,,,,,,1,,,,,1,,,1,,1,,1,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,0,1,1,0,,0,,,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,5,10,10
30,Random Encounter,17,4,16,6,6,4,7,0,60,,,,,1,1,,1,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,1,1,,0,,,1,0,0,0,1,0,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0
30,Revenge of the Stakeholders,16,7,23,8,6,0,0,0,60,,,,,1,,1,,1,,1,,,,,1,0,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,1,1,1,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,1,0,1,1,1,1,1,0,1,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,0,0,,,,,,,0,0,0
30,Stirrups R Us,21,2,21,3,6,6,1,0,60,0,1,,,1,1,,0,1,,1,,,,,1,,,1,,1,1,,1,,1,,,,,,1,1,,1,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,1,,,,,1,,1,1,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,,0,0,0,0,1,0,0,0
33,Tony Hawk Pro Lenders,10,6,23,8,5,7,0,0,59,,,,,1,,,1,,1,1,,,,,1,,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,,,,,,,0,0,0
34,Green Machines,18,9,8,2,4,0,0,15,56,,,,,1,1,,1,1,,1,1,,1,,1,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,1,,,,,1,,,,,,,,,,,0,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,1,,,,1,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,5,10,0
35,Saddle Sore Squad,38,9,8,0,0,0,0,0,55,,1,,,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,,,,,1,1,,,,,,1,,,,1,1,,,1,1,1,1,,,,,1,,1,,,1,,,,,1,,,1,,1,1,1,,1,1,,1,0,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
36,Mortalled,2,1,24,8,6,7,1,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,,,0,0,0,5,0,0
37,Early Careers FC,13,8,24,8,0,0,0,0,53,,1,,1,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,1,,,0,,,,,,,,1,,,,,,,0,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0
38,Hook Funt,0,6,24,2,6,7,2,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,,,,1,,1,5,0,0
39,I like big putters and I cannot lie,10,7,14,1,6,7,1,5,51,,,,,,,,,,,,1,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,1,1,1,0,1,1,1,1,0,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,1,,,,,5,0,0
39,Village Idiots,4,7,24,3,6,4,3,0,51,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,,,1,1,,1,1,1,1,1,1,,,,1,1,1,1,,,0,1,1,,,,1,0,0,0
41,The Booze Lightyears,1,6,10,2,5,0,0,25,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,0,,,,1,1,,,,,,,1,1,1,1,,,1,1,,,1,1,,,,,,,1,,,1,,,1,0,1,1,1,1,,,,,,,,,,,,,,,,,5,10,10
42,Crop It Like It's Hot,2,9,22,8,6,1,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,0,1,0,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,,,1,,,,0,,,,,,,0,0,0
42,The Sackstreet Boys,12,7,13,1,0,0,0,15,48,,,,,,,,,,,,,1,1,,1,,1,1,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,,,1,1,0,1,,,1,1,0,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0
44,Atomic Securities,22,7,6,1,6,0,0,5,47,,1,,,,1,,,,,,,,1,,1,,,1,,,,1,1,,,1,1,,1,,,,1,,,,,,,,,,,,1,1,,1,,1,1,,,,,1,,,,,,,1,,,,1,,1,1,,,1,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,0,,,,,0,,5,0,0
45,Lost Toys,9,8,2,8,6,7,6,0,46,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,0,0,1,1,1,1,0,1,1,0,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,,1,1,1,0,0,0
46,Wormageddon,4,9,22,3,6,0,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,0,0,0
47,Purn's Puppets,25,10,0,0,0,0,0,5,40,,1,,,1,1,1,,1,,1,1,,1,,1,1,,1,1,,,,1,,,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0
48,Bald and Beautiful,2,1,21,2,2,0,6,5,39,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,1,,,1,,,1,,,,1,,,,,,,,,0,1,0,1,1,0,1,1,1,5,0,0
48,Grand Theft Ale,38,1,0,0,0,0,0,0,39,,,1,1,1,1,1,1,1,1,,1,,1,,,1,,,1,,1,,,1,1,,1,1,,,,1,,,,1,1,,1,1,1,,1,,,,,1,1,,1,,1,,,1,,1,,1,1,,1,,1,1,1,1,,,1,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
50,Here for Beer,10,11,5,2,4,2,2,0,36,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,1,1,1,1,0,1,1,1,1,1,1,1,,,0,1,,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,,1,1,0,0,1,1,0,1,1,0,0,0,0,0,,,,1,,,0,1,0,0,0
51,Cheeky Pluckers,8,5,16,3,0,0,0,0,32,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,1,1,1,,,1,,,0,,0,1,1,1,1,0,1,,,1,1,1,1,1,1,0,1,,,1,1,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
52,Skyrimmers,6,3,6,4,6,6,0,0,31,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,0,1,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,0,,0,0,0
53,Clash of Pints,26,2,2,0,0,0,0,0,30,,,,,,1,,,1,1,,,,,,1,1,,1,,,1,,1,1,,,,,1,,,,,1,1,,,1,,,,1,,1,,1,,1,1,,1,,1,,,1,,,,,1,,1,,1,,,,1,,,,1,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
53,Kev Cochrane's Worn-out Joystick,7,4,9,0,0,0,0,10,30,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,0,1,0,1,0,0,0,,,,1,1,,,,,,,1,1,1,1,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10
55,"Waka Waka, Work Harder",6,1,11,1,6,0,0,0,25,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,,,,,1,1,0,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,0,,,,,,,0,0,0
56,Game of Throws,17,3,0,1,3,0,0,0,24,,,,,1,1,,1,,,,,,,,1,,,1,,,1,,1,,1,,,,1,,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,0,0,0
57,Golden Pint Chasers,9,5,0,2,0,3,3,0,22,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,,,0,1,1,0,1,,,0,0,0
57,Sim & Tonic,10,1,0,1,4,1,0,5,22,,,1,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,5,0,0
59,Why has the rum gone?,5,0,0,4,0,4,3,5,21,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,,5,0,0
60,3rd Vents the Charm,9,0,0,3,4,0,1,0,17,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,1,,1,1,,,,,,,,,1,,,,,,,,0,0,0
60,"Oh, Behave!",9,7,0,0,1,0,0,0,17,,,,,,,,0,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,1,,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0
60,Pubthumping,11,5,0,0,1,0,0,0,17,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0
63,Hadouken on Tap,15,0,0,0,0,0,0,0,15,,,,1,,0,1,,,,1,,,,1,1,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,,1,,,1,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
64,Only Gnomes,12,0,0,0,0,0,0,0,12,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
64,Ping-Pong,11,1,0,0,0,0,0,0,12,,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
66,Chips and Salsa,9,0,0,0,0,0,0,0,9,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
66,Oh No!,8,1,0,0,0,0,0,0,9,,,,,,1,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
66,The Hedgefund Managers,1,8,0,0,0,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
69,"Pay, no pay",2,6,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
70,Kevin Costner Fan Club,0,0,0,3,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
71,Team Chundrake (It's Chunning Home),0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
72,Tetris,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
72,The NPC's,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
72,We are supposed to be a Unit !,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0